"provinsi","kota","kecamatan","kelurahan","id_tps","nomor_tps","diterima","rusak","tdk_digunakan","tdk_sah","no1","no2","no3","no4","no5","no6","no7","no8","no9","no10","no11","no12","no13","no14","no15","no16","no17","no18","no19","no20","saksi_pileg"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001003","003","212","0","27","14","3","28","64","2","5","1","6","19","1","6","9","21","2","1","","","","","1","2","RAHMAT"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001004","004","248","0","28","3","1","17","83","12","6","0","5","12","5","3","5","55","0","7","","","","","0","1","RAHMAT"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001005","005","126","0","17","8","1","6","47","5","3","0","4","4","0","7","0","12","0","6","","","","","0","0","SEKAR"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001006","006","174","0","46","11","9","8","38","3","6","0","10","12","3","1","6","48","1","2","","","","","0","0","SISI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001007","007","233","0","46","12","9","12","59","4","3","0","5","19","5","9","10","32","0","7","","","","","0","1","DANI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001008","008","277","0","46","17","2","13","65","4","4","0","3","11","2","4","8","94","1","3","","","","","0","0","NANA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001009","009","275","0","43","25","2","14","71","11","7","0","12","13","1","6","10","49","3","11","","","","","0","0","DIDI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001010","010","159","0","31","14","0","9","38","6","2","0","1","16","1","3","3","30","0","5","","","","","0","0","SISI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001011","011","177","0","23","19","1","13","34","6","16","0","3","12","0","4","1","28","0","8","","","","","0","0","SITA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001012","012","135","0","13","11","1","21","43","3","4","1","1","3","1","4","4","24","0","1","","","","","0","0","ANA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001013","013","240","0","57","16","6","19","58","8","1","1","5","5","0","2","7","44","7","7","","","","","0","0","ANAS"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001014","014","165","0","20","12","4","11","37","1","7","0","7","7","1","8","6","29","6","8","","","","","0","1","SISI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001015","015","324","0","77","22","7","15","79","8","12","2","5","8","2","6","3","67","0","10","","","","","1","0","SINAR"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001016","016","266","1","27","13","16","14","76","5","6","0","81","151","25","71","9","58","0","4","","","","","3","1","DINO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001017","017","250","0","42","14","6","9","120","2","7","0","3","6","1","4","9","21","0","4","","","","","1","1","SITI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001018","018","241","0","17","12","8","20","103","9","10","2","2","10","1","3","7","27","0","6","","","","","2","0","ASIH"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001019","019","218","0","28","17","4","5","80","5","11","5","11","1","2","30","3","3","7","19","","","","","0","0","SASA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001020","020","200","0","27","15","1","4","60","6","9","0","2","25","2","4","12","22","2","8","","","","","0","1","TITIN"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PATEHAN","3471091001021","021","295","1","44","15","2","19","111","16","8","1","2","15","9","3","20","23","0","3","","","","","1","2","ATIK"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002001","001","242","2","53","11","5","12","73","5","4","0","8","10","1","3","15","36","0","4","","","","","0","0","mujirah"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002002","002","181","0","30","14","1","11","55","2","10","1","0","19","1","5","12","3","0","6","","","","","1","0","tri"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002003","003","130","0","22","11","2","11","40","4","1","0","0","13","0","5","5","15","0","1","","","","","0","0","satya"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002004","004","210","0","33","14","4","12","55","1","10","0","5","6","2","5","12","43","0","7","","","","","1","0","riyanti"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002005","005","240","0","42","7","5","16","73","8","11","1","2","16","4","7","10","22","0","11","","","","","0","0","murtiningsih"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002006","006","261","0","35","14","10","13","79","7","10","0","2","20","3","7","13","40","0","7","","","","","1","0","fajar"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002007","007","218","0","34","11","4","22","74","1","8","1","1","10","2","4","9","28","1","8","","","","","0","0","sigit"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002008","008","237","0","23","6","4","11","99","5","8","0","0","22","0","5","24","24","0","4","","","","","1","1","arif"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002009","009","167","0","24","15","3","16","47","10","6","0","4","12","4","0","8","6","0","3","","","","","0","0","fani"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002010","010","226","0","56","11","6","12","63","7","8","0","3","6","1","2","14","29","2","5","","","","","1","0","dinny"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002011","011","222","0","13","8","5","20","91","7","13","0","8","8","5","11","3","20","0","9","","","","","0","1","yudith"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002012","012","147","0","26","10","4","10","40","5","2","2","0","7","1","1","11","15","0","4","","","","","0","0","fahri"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002013","013","233","0","39","12","7","25","69","6","8","0","4","11","0","8","6","17","0","19","","","","","0","2","kris"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002014","014","284","16","50","16","2","13","138","1","6","0","3","15","2","7","8","10","0","5","","","","","6","0","emi"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002015","015","290","1","61","13","4","13","107","8","15","0","5","17","0","4","16","17","0","1","","","","","0","1","dewi"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002016","016","288","1","68","28","3","11","86","2","5","1","10","11","8","9","12","24","5","3","","","","","0","1","rahaji"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002017","017","300","0","55","20","1","8","147","5","9","0","2","7","1","7","7","25","0","6","","","","","0","0","arya"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002018","018","223","0","33","11","1","5","64","9","7","0","4","5","1","5","19","53","0","6","","","","","0","0","Taufiq"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002019","019","124","0","17","11","2","3","45","4","4","0","0","4","1","4","5","19","1","3","","","","","1","0","agung"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002020","020","177","0","25","2","2","6","115","1","1","2","2","3","0","0","4","120","0","0","","","","","0","1","yosef"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002021","021","156","0","3","5","1","7","76","2","7","1","1","6","4","5","9","24","1","0","","","","","2","1","fathan"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002022","022","180","0","27","10","7","4","82","4","3","0","9","11","1","5","11","11","0","1","","","","","0","0","tri"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002023","023","143","0","27","5","4","6","49","5","3","0","1","5","12","0","4","12","0","8","","","","","2","0","eka"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002024","024","228","0","50","10","3","12","56","6","4","1","4","11","5","2","6","53","0","4","","","","","0","1","yulianto"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002025","025","164","0","17","10","4","0","54","3","3","0","3","6","3","1","6","52","0","2","","","","","0","0","henda"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002026","026","138","0","18","6","9","8","37","9","25","0","0","4","0","2","6","9","0","5","","","","","0","0","adi"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002027","027","185","0","40","11","6","5","46","4","28","1","3","2","2","4","6","14","1","2","","","","","0","0","umi"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002028","028","215","3","23","11","1","2","111","15","10","1","1","5","2","2","6","16","0","5","","","","","0","1","etty"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002029","029","187","0","21","8","4","9","79","9","5","1","1","5","4","6","2","23","0","8","","","","","0","2","andi"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002030","030","239","0","42","14","11","17","77","5","7","0","3","15","0","1","17","19","0","10","","","","","1","0","ajeng"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002031","031","290","2","35","17","4","5","124","22","8","0","4","14","3","2","10","25","1","10","","","","","4","0","leondra"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002032","032","213","0","41","9","4","6","80","6","7","1","4","6","3","4","12","11","1","7","","","","","0","1","maya"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002033","033","190","10","24","10","6","7","69","4","2","0","1","20","0","5","12","28","0","2","","","","","0","0","ari"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002034","034","266","1","40","19","3","10","112","6","8","0","9","16","0","4","8","23","0","6","","","","","1","0","Artha"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","PANEMBAHAN","3471091002035","035","132","0","29","9","1","4","47","2","3","1","7","11","2","2","4","7","0","2","","","","","1","0","sumantri"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003001","001","174","0","31","7","4","5","27","6","4","0","2","23","0","3","4","54","0","4","","","","","0","0","Budi"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003002","002","196","13","24","13","2","11","44","3","4","1","6","15","5","7","8","43","0","6","","","","","4","0","DWI NOOR"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003003","003","164","0","21","12","3","5","76","4","1","0","4","4","3","7","3","15","0","6","","","","","0","0","TRI RAHAYU"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003004","004","162","0","25","11","2","8","57","5","5","0","6","9","1","2","13","13","1","4","","","","","0","0","PANJI IRAWAN"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003005","005","224","1","197","10","4","21","86","14","6","1","9","7","4","10","13","9","0","2","","","","","0","1","RONNY"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003006","006","236","0","22","22","4","26","91","12","0","0","6","7","2","8","8","24","0","1","","","","","0","3","Yusuf"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003007","007","243","1","33","16","5","16","39","2","1","0","5","9","1","14","0","99","0","2","","","","","0","0","HANDRI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003008","008","256","0","45","17","5","29","42","2","4","0","8","23","1","3","6","64","1","5","","","","","0","1","OKTA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003009","009","190","0","32","10","7","15","47","6","2","1","2","10","3","9","8","25","0","8","","","","","1","1","maman"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003010","010","175","0","32","15","5","18","46","6","5","0","3","5","2","4","5","23","0","4","","","","","0","2","korin"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003011","011","210","0","28","9","4","50","33","4","1","0","0","21","1","10","1","21","0","6","","","","","1","0","ANAS"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003012","012","204","0","38","25","3","9","45","1","3","1","7","5","0","12","10","39","0","2","","","","","0","1","suryanti"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003013","013","167","0","26","7","3","9","73","5","3","7","6","3","2","0","10","9","1","2","","","","","1","0","HILDA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003014","014","168","0","15","8","3","13","69","5","1","0","8","5","1","6","7","22","0","3","","","","","1","1","JOKO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003015","015","183","0","22","12","1","16","51","4","5","0","0","12","3","4","3","39","1","7","","","","","3","0","Akbar"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003016","016","205","0","28","18","1","18","51","1","1","0","4","7","4","17","4","38","0","8","","","","","0","0","MELA GUSWITA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003017","017","140","0","17","7","4","4","50","3","7","0","4","5","1","5","10","18","0","4","","","","","0","1","yoga"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003018","018","188","0","26","40","4","7","31","1","5","0","3","7","1","15","8","36","0","3","","","","","1","0","eman"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003019","019","140","0","17","16","14","7","41","20","17","2","2","11","3","17","8","84","0","13","","","","","3","1","Dewang"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003020","020","291","0","49","29","4","21","50","18","5","1","7","20","3","17","7","20","0","11","","","","","2","2","Dody"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003021","021","199","0","39","12","3","13","50","18","6","0","5","7","0","5","10","17","0","13","","","","","0","1","aty"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003022","022","169","0","30","10","1","10","36","23","20","1","2","9","2","2","3","10","0","8","","","","","1","1","MARETA KARTIKAF"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003023","023","197","0","22","11","1","2","82","2","4","1","4","9","2","3","3","18","0","33","","","","","0","0","KUNCORO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003024","024","213","0","37","19","6","14","58","5","6","1","2","16","5","6","7","12","1","16","","","","","1","1","GRIVALDI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003025","025","228","0","37","5","5","5","43","60","13","0","3","16","0","4","11","18","0","5","","","","","3","0","AISA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003026","026","185","0","32","18","4","23","39","8","9","1","2","14","0","5","3","22","1","1","","","","","1","2","DHIA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","KRATON","KADIPATEN","3471091003027","027","151","0","31","10","3","12","37","3","5","0","5","12","5","6","6","8","0","6","","","","","1","1","TANTY"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001001","001","271","2","40","10","3","12","123","2","11","0","1","2","2","2","55","4","0","2","","","","","0","0","Putra"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001002","002","224","2","39","7","1","7","93","9","17","0","2","5","1","1","34","5","0","0","","","","","0","1","Turi"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001003","003","206","0","35","4","4","3","107","6","5","0","1","0","1","0","38","2","0","0","","","","","0","0","Siti Ngatiyah"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001004","004","196","0","34","13","6","7","50","4","9","0","6","5","2","8","14","30","1","7","","","","","0","0","Dewi"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001005","005","207","4","20","14","9","9","75","11","10","0","4","3","2","8","27","6","0","3","","","","","0","2","Puri"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001006","006","274","1","56","13","4","4","107","15","16","0","7","4","9","6","25","4","0","2","","","","","1","0","Kuri"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001007","007","223","0","18","2","1","1","111","1","23","0","0","0","2","1","59","2","0","0","","","","","0","2","Johan"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001008","008","210","0","54","10","0","5","81","2","16","0","2","2","0","1","25","11","0","1","","","","","0","0","Kusindriyanto"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001009","009","270","0","37","18","6","8","134","3","19","0","4","4","1","6","6","21","0","1","","","","","1","0","Astrid Dita"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001010","010","289","0","56","10","4","12","127","8","8","0","6","4","2","10","7","28","0","5","","","","","0","1","Saiful"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001011","011","250","1","26","8","3","5","149","7","23","0","4","3","2","4","21","0","0","2","","","","","0","0","Indah"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001012","012","267","0","48","10","5","7","5","2","2","0","38","24","0","13","2","106","0","4","","","","","0","1","F. A. Remmy S."
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001013","013","279","1","35","23","0","21","28","6","4","0","9","14","2","4","12","114","0","5","","","","","0","1","Agus"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001014","014","234","0","40","8","6","6","5","2","2","0","18","29","0","5","4","108","0","1","","","","","0","0","Reza"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001015","015","269","0","22","11","4","21","11","5","1","1","4","38","2","12","7","126","0","2","","","","","1","1","Yuli"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001016","016","281","0","37","18","1","20","10","0","1","0","7","33","0","26","3","116","1","7","","","","","1","0","Sugito"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001017","017","227","0","28","11","4","14","7","0","2","3","14","29","0","7","4","103","0","2","","","","","1","2","R. Anom"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","NGUPASAN","3471101001018","018","279","0","47","14","2","11","20","1","3","0","5","16","0","6","4","144","0","2","","","","","4","0","Yudi"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002001","001","249","0","39","16","14","28","64","7","8","0","2","21","3","10","13","20","0","3","","","","","0","1","Samsul"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002002","002","271","0","64","21","10","17","63","10","5","0","7","19","8","13","14","24","0","5","","","","","0","1","Hendri"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002003","003","204","0","39","15","3","8","67","5","21","0","1","4","4","0","15","16","0","5","","","","","0","0","Ervin"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002004","004","200","1","33","12","3","10","84","4","5","0","3","7","1","3","12","21","0","1","","","","","0","0","FERRY S"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002005","005","262","0","36","15","2","14","82","4","53","2","2","12","2","7","4","24","0","1","","","","","0","2","262"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002006","006","236","0","38","16","5","17","82","4","9","0","1","25","3","13","1","17","0","4","","","","","1","0","sugiyanti"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002007","007","232","1","61","14","1","7","108","3","13","0","0","3","0","0","10","9","0","2","","","","","0","0","sukaryanti"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002008","008","148","0","24","18","0","7","63","2","6","0","1","5","0","1","4","16","0","1","","","","","0","0","mukti"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002009","009","177","0","32","7","1","2","81","1","7","0","2","0","0","0","0","36","0","4","","","","","0","0","setiomo"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002010","010","179","0","21","16","3","3","66","5","16","0","3","17","3","4","7","7","1","2","","","","","2","0","fendy nur"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002011","011","278","3","42","14","5","13","93","5","13","0","7","13","6","7","21","34","0","1","","","","","0","1","Nuryamsih"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002012","012","280","0","36","18","4","13","126","7","6","0","5","18","3","5","9","17","0","11","","","","","0","1","Fitri"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002013","013","224","0","36","19","5","4","110","2","6","0","1","7","5","2","7","13","0","7","","","","","0","0","Tama"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002014","014","195","0","24","10","5","12","92","3","3","2","2","6","2","6","6","20","0","3","","","","","0","1","Usri"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002015","015","283","0","39","21","7","23","96","13","7","0","6","14","5","5","8","29","0","10","","","","","0","0","RATNA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002016","016","297","1","45","32","3","9","105","11","15","1","4","11","1","1","21","32","0","3","","","","","1","1","guntur"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002017","017","282","0","41","16","6","20","99","7","5","0","8","9","2","2","2","61","0","4","","","","","0","0","Sri Muryani"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002018","018","278","4","42","21","3","5","114","14","7","1","3","8","4","3","10","33","0","4","","","","","2","0","Roni"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002019","019","185","0","54","14","1","4","69","8","3","0","3","9","2","3","10","8","0","5","","","","","0","0","Mulyam"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002020","020","240","0","14","20","5","10","76","11","13","0","7","12","5","8","39","16","0","3","","","","","0","1","Sumarno"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002021","021","202","0","26","28","2","5","83","3","6","0","2","0","0","11","4","30","0","2","","","","","0","0","Ariasih"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002022","022","299","0","48","31","0","7","150","10","24","0","4","3","4","0","7","15","0","3","","","","","0","0","Sumarsih"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002023","023","189","0","18","23","0","27","67","1","1","1","0","11","0","6","1","26","0","6","","","","","0","1","Sumarti"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GONDOMANAN ","PRAWIRODIRJAN","3471101002024","024","207","0","23","21","4","21","86","3","10","0","1","12","2","3","12","12","0","2","","","","","0","0","Ari"
