"provinsi","kota","kecamatan","kelurahan","id_tps","nomor_tps","diterima","rusak","tdk_digunakan","tdk_sah","no1","no2","no3","no4","no5","no6","no7","no8","no9","no10","no11","no12","no13","no14","no15","no16","no17","no18","no19","no20","saksi_pileg"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003014","014","211","4","16","13","7","28","68","12","10","1","5","14","4","7","7","9","0","5","","","","","0","1","Suwarno"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003015","015","285","0","59","14","5","4","4","11","6","1","4","10","1","1","12","36","0","5","","","","","1","1","Sumarwati"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003016","016","218","0","33","13","8","10","68","13","5","0","0","7","4","3","4","34","0","8","","","","","0","0","Devita"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003017","017","298","4","42","33","11","11","87","13","0","8","2","1","5","0","30","14","2","1","","","","","3","31","Bayu"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003018","018","252","0","26","16","7","16","108","11","7","0","5","6","5","1","3","17","0","8","","","","","0","0","sry"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003019","019","282","0","48","13","9","14","117","7","11","0","6","20","2","5","8","17","0","5","","","","","0","0","Dalyono"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003020","020","251","0","46","15","5","8","115","7","7","0","2","9","2","2","15","16","0","2","","","","","0","0","Rinera"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003021","021","286","21","25","20","18","14","110","8","7","1","7","11","4","6","13","15","0","5","","","","","0","1","Aryanto"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003022","022","231","0","65","17","1","12","72","7","7","0","1","8","3","4","10","22","0","2","","","","","0","0","Toro"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","DANUREJAN","BAUSASRAN","3471041003023","023","198","0","89","8","2","6","59","5","2","0","0","3","0","1","14","12","0","2","","","","","0","0","Nizam"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001001","001","275","1","38","21","5","5","85","4","15","1","3","58","2","3","8","17","1","6","","","","","2","0","BAYU"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001002","002","106","0","25","4","1","2","40","6","1","0","1","13","1","1","5","3","0","1","","","","","0","2","SEPTIANA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001003","003","253","0","47","17","4","10","81","3","8","0","3","39","2","3","10","20","0","6","","","","","0","0","INAYAH"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001004","004","209","0","35","13","1","9","94","4","1","0","2","8","2","6","22","6","0","6","","","","","0","0","ERNA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001005","005","277","0","48","8","5","9","148","3","4","0","0","13","8","4","16","8","0","3","","","","","0","0","BIMA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001006","006","273","0","41","23","4","17","121","7","6","0","5","8","4","5","2","6","0","12","","","","","0","0","AWAN K"
